Note ON: Channel: 1, Note: 60, Velocity: 127
Control Change: Channel: 1, Control: 2, Value: 47
Control Change: Channel: 1, Control: 7, Value: 47
Control Change: Channel: 1, Control: 2, Value: 53
Control Change: Channel: 1, Control: 7, Value: 53
Control Change: Channel: 1, Control: 2, Value: 59
Control Change: Channel: 1, Control: 7, Value: 59
Control Change: Channel: 1, Control: 2, Value: 65
Control Change: Channel: 1, Control: 7, Value: 65
Control Change: Channel: 1, Control: 2, Value: 71
Control Change: Channel: 1, Control: 7, Value: 71
Control Change: Channel: 1, Control: 2, Value: 75
Control Change: Channel: 1, Control: 7, Value: 75
Control Change: Channel: 1, Control: 2, Value: 81
Control Change: Channel: 1, Control: 7, Value: 81
Control Change: Channel: 1, Control: 2, Value: 85
Control Change: Channel: 1, Control: 7, Value: 85
Control Change: Channel: 1, Control: 2, Value: 89
Control Change: Channel: 1, Control: 7, Value: 89
Control Change: Channel: 1, Control: 2, Value: 95
Control Change: Channel: 1, Control: 7, Value: 95
Control Change: Channel: 1, Control: 2, Value: 99
Control Change: Channel: 1, Control: 7, Value: 99
Control Change: Channel: 1, Control: 2, Value: 103
Control Change: Channel: 1, Control: 7, Value: 103
Control Change: Channel: 1, Control: 2, Value: 107
Control Change: Channel: 1, Control: 7, Value: 107
Control Change: Channel: 1, Control: 2, Value: 111
Control Change: Channel: 1, Control: 7, Value: 111
Control Change: Channel: 1, Control: 2, Value: 115
Control Change: Channel: 1, Control: 7, Value: 115
Control Change: Channel: 1, Control: 2, Value: 117
Control Change: Channel: 1, Control: 7, Value: 117
Control Change: Channel: 1, Control: 2, Value: 120
Control Change: Channel: 1, Control: 7, Value: 120
Control Change: Channel: 1, Control: 2, Value: 123
Control Change: Channel: 1, Control: 7, Value: 123
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 126
Control Change: Channel: 1, Control: 7, Value: 126
Control Change: Channel: 1, Control: 2, Value: 127
Control Change: Channel: 1, Control: 7, Value: 127
Control Change: Channel: 1, Control: 2, Value: 126
Control Change: Channel: 1, Control: 7, Value: 126
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 122
Control Change: Channel: 1, Control: 7, Value: 122
Control Change: Channel: 1, Control: 2, Value: 118
Control Change: Channel: 1, Control: 7, Value: 118
Control Change: Channel: 1, Control: 2, Value: 116
